hospital_id,hospital_name,state,district,city,latitude,longitude,ownership_type,hospital_level,total_beds,icu_beds,ventilators,cardiac_unit,trauma_unit,burn_unit,current_icu_load_percent,emergency_load_score,last_updated
14,Ameeta patil  Nursing Home,Maharashtra,Mumbai,Mumbai,19.0622247,72.8997288,Government,Primary,56,2,1,Yes,Yes,Yes,36,0.87,2025-12-16
15,Mata Ramabai B Ambedkar Hospital,Maharashtra,Mumbai,Mumbai,19.0557141,72.8946408,Private,Primary,62,2,1,Yes,No,Yes,90,0.92,2025-12-16
16,Hyat Hosptal,Maharashtra,Mumbai,Mumbai,19.1806805,72.8630713,Government,Secondary,382,38,27,No,No,Yes,93,0.62,2025-12-16
17,Mangal Murti Hospital and Polyclinic,Maharashtra,Mumbai,Mumbai,19.2263008,72.8278848,Private,Primary,91,4,2,Yes,Yes,Yes,65,0.48,2025-12-16
18,Dr.zamil,Maharashtra,Mumbai,Mumbai,19.0615785,72.9282129,Government,Secondary,239,24,15,Yes,Yes,No,67,0.79,2025-12-16
19,jonsons diagnostics,Maharashtra,Mumbai,Mumbai,19.0501477,72.9193344,Trust,Secondary,350,29,24,Yes,Yes,Yes,37,0.24,2025-12-16
20,nidan hospital,Maharashtra,Mumbai,Mumbai,19.0924663,72.9121731,Government,Secondary,323,32,19,Yes,No,No,37,0.46,2025-12-16
21,bba,Maharashtra,Mumbai,Mumbai,19.0602605,72.9113338,Government,Tertiary,458,95,64,Yes,No,Yes,75,0.29,2025-12-16
22,mahaveer hospital,Maharashtra,Mumbai,Mumbai,19.0677525,72.9275925,Private,Secondary,118,12,10,Yes,No,No,48,0.39,2025-12-16
23,maa hospital,Maharashtra,Mumbai,Mumbai,19.0585059,72.8904048,Trust,Secondary,154,13,10,No,Yes,Yes,66,0.81,2025-12-16
24,sanjeevan hospital,Maharashtra,Mumbai,Mumbai,19.0608709,72.9247689,Government,Secondary,167,14,11,No,Yes,No,38,0.54,2025-12-16
25,Metalife,Maharashtra,Mumbai,Mumbai,19.0668912,72.9134181,Trust,Tertiary,507,118,71,No,No,Yes,66,0.94,2025-12-16
26,AMAN,Maharashtra,Mumbai,Mumbai,19.0524549,72.9185421,Trust,Secondary,149,17,10,Yes,Yes,Yes,59,0.85,2025-12-16
27,Saidhanhospital Iccu and Eye Care,Maharashtra,Mumbai,Mumbai,19.1682476,72.9612909,Trust,Secondary,368,30,19,No,No,Yes,75,0.49,2025-12-16
28,"Chandraganga Hospital, Mulund",Maharashtra,Mumbai,Mumbai,19.1760293,72.9618357,Private,Secondary,268,31,20,No,No,No,72,0.81,2025-12-16
29,gr8 smile dental clinic,Maharashtra,Mumbai,Mumbai,19.1068191,72.8507443,Trust,Primary,79,3,2,No,No,Yes,59,0.89,2025-12-16
30,new life hospital,Maharashtra,Mumbai,Mumbai,19.0897614,72.9049996,Government,Tertiary,582,126,93,No,Yes,Yes,45,0.85,2025-12-16
31,muktabai hospital,Maharashtra,Mumbai,Mumbai,19.0946018,72.9032913,Trust,Tertiary,930,216,144,No,No,Yes,57,0.57,2025-12-16
32,v care hospital intensive& unit care,Maharashtra,Mumbai,Mumbai,19.0634778,72.8817876,Government,Primary,37,1,0,No,Yes,No,76,0.47,2025-12-16
33,arpan nursing home,Maharashtra,Mumbai,Mumbai,19.0693933,72.8781202,Private,Secondary,205,21,15,Yes,Yes,No,74,0.48,2025-12-16
34,fauziya hospital,Maharashtra,Mumbai,Mumbai,19.0627584,72.8731765,Trust,Secondary,149,12,7,No,Yes,No,87,0.8,2025-12-16
35,arayan hospital,Maharashtra,Mumbai,Mumbai,19.0636096,72.8819271,Private,Primary,53,1,0,No,No,Yes,61,0.75,2025-12-16
36,Anket Nursing Home,Maharashtra,Mumbai,Mumbai,19.1308944,72.9299048,Trust,Primary,93,2,1,Yes,No,No,82,0.27,2025-12-16
37,Bellevue Multispeciality Hospital,Maharashtra,Mumbai,Mumbai,19.1289988,72.8316764,Government,Primary,41,1,0,No,Yes,No,53,0.11,2025-12-16
38,"Nanavati Hospital, Mumbai",Maharashtra,Mumbai,Mumbai,19.0959684,72.8400115,Private,Tertiary,1185,293,206,Yes,No,Yes,50,0.46,2025-12-16
39,Surya Mother And Child Speciality Hospital,Maharashtra,Mumbai,Mumbai,19.0857296,72.8377345,Private,Tertiary,452,106,74,No,No,Yes,88,0.33,2025-12-16
40,Surya Childrens Hospital,Maharashtra,Mumbai,Mumbai,19.0855132,72.837945,Trust,Tertiary,1097,239,184,No,Yes,Yes,80,0.33,2025-12-16
41,Aryan Hospital,Maharashtra,Mumbai,Mumbai,19.0391617,72.9488101,Trust,Tertiary,1091,264,205,Yes,Yes,No,42,0.88,2025-12-16
42,Nutan Mammography and Sonography Centre,Maharashtra,Mumbai,Mumbai,19.1140839,72.8417197,Private,Secondary,275,26,20,No,No,Yes,72,0.42,2025-12-16
43,Dr.Mukhi's Raj Hospital,Maharashtra,Mumbai,Mumbai,19.1760945,72.9490036,Trust,Tertiary,892,142,92,No,Yes,Yes,71,0.66,2025-12-16
44,Ashwini Hospital and I. C. C. U. with Dialysis Centre,Maharashtra,Mumbai,Mumbai,19.1753107,72.9514943,Trust,Tertiary,935,157,106,Yes,No,No,79,0.13,2025-12-16
45,Bhatia,Maharashtra,Mumbai,Mumbai,18.9656765,72.8135089,Government,Tertiary,491,104,81,Yes,No,No,49,0.17,2025-12-16
46,Mukund Hospital,Maharashtra,Mumbai,Mumbai,19.111503,72.8723931,Private,Secondary,242,19,13,Yes,No,Yes,50,0.35,2025-12-16
47,Tiwari Hospital,Maharashtra,Mumbai,Mumbai,19.09722,72.888041,Government,Primary,96,4,2,Yes,Yes,Yes,87,0.55,2025-12-16
48,"Ramakrishna Mission Hospital, Mumbai",Maharashtra,Mumbai,Mumbai,19.0750197,72.8356392,Government,Primary,86,3,2,Yes,Yes,Yes,74,0.34,2025-12-16
49,Smt S.R.Mehta and Sir K.P.Cardiac Institute,Maharashtra,Mumbai,Mumbai,19.0323408,72.8595512,Government,Primary,38,1,0,No,No,No,52,0.23,2025-12-16
50,"Government General Hospital, Malwani Malad",Maharashtra,Mumbai,Mumbai,19.2007076,72.8221715,Government,Secondary,313,34,23,No,Yes,Yes,41,0.46,2025-12-16
51,Upasani Maternity and Surgical Nursing Home,Maharashtra,Mumbai,Mumbai,19.1732429,72.9547642,Government,Secondary,248,21,15,Yes,Yes,Yes,81,0.34,2025-12-16
52,Meher Ambe Nursing Home,Maharashtra,Mumbai,Mumbai,19.1753796,72.9569965,Trust,Secondary,187,15,10,Yes,Yes,Yes,59,0.48,2025-12-16
53,Mata Lachmi Hospital,Maharashtra,Mumbai,Mumbai,19.0358379,72.8609822,Private,Secondary,300,25,16,No,No,No,90,0.91,2025-12-16
54,Saarthi Health Care,Maharashtra,Mumbai,Mumbai,19.1764944,72.9514785,Trust,Secondary,347,33,21,No,Yes,Yes,41,0.42,2025-12-16
55,Kurla Municipal Hospital,Maharashtra,Mumbai,Mumbai,19.0815079,72.8831157,Trust,Tertiary,999,208,174,No,No,No,33,0.2,2025-12-16
56,Bharatiya Arogya Nidhi Sheth Kantilal C. Parikh General Hospital,Maharashtra,Mumbai,Mumbai,19.1117839,72.8283425,Private,Primary,97,4,3,Yes,No,Yes,35,0.86,2025-12-16
57,Peoples Mobile Hospitals,Maharashtra,Mumbai,Mumbai,19.0066529,72.8179411,Government,Secondary,156,16,9,No,Yes,Yes,66,0.59,2025-12-16
58,Global Hospital Super Speciality and Transplant Center,Maharashtra,Mumbai,Mumbai,18.9994432,72.8405011,Trust,Primary,52,1,0,No,No,No,41,0.79,2025-12-16
59,Dr. Vora's Premature Critical Care and General Hospital,Maharashtra,Mumbai,Mumbai,19.206618,72.8419209,Private,Secondary,216,20,16,No,Yes,No,45,0.28,2025-12-16
60,Marol,Maharashtra,Mumbai,Mumbai,19.1172198,72.882342,Private,Secondary,275,22,15,No,Yes,No,36,0.32,2025-12-16
61,Shivam Nursing Home,Maharashtra,Mumbai,Mumbai,19.0646242,72.8510225,Trust,Primary,87,4,2,Yes,No,Yes,75,0.32,2025-12-16
62,Ashirvaad Heart Hospital,Maharashtra,Mumbai,Mumbai,19.0763785,72.9054696,Government,Secondary,200,22,17,No,No,No,41,0.47,2025-12-16
63,Dr. Sabnis Maternity and Nursing Home,Maharashtra,Mumbai,Mumbai,19.1737405,72.9621216,Government,Primary,68,3,2,No,No,Yes,90,0.58,2025-12-16
64,Dr. Disha's Homoeopathy,Maharashtra,Mumbai,Mumbai,19.2040615,72.8489685,Government,Primary,70,2,1,Yes,Yes,Yes,64,0.46,2025-12-16
65,Nihal Nursing Home & Opthalmologist,Maharashtra,Mumbai,Mumbai,19.1253722,72.9190861,Private,Primary,54,1,0,No,No,Yes,54,0.49,2025-12-16
66,Daxini Heart Centre,Maharashtra,Mumbai,Mumbai,19.1757098,72.9527646,Trust,Tertiary,1002,164,128,No,Yes,Yes,95,0.7,2025-12-16
67,Ashirwad Critical Care Unit,Maharashtra,Mumbai,Mumbai,19.1744516,72.9527345,Private,Secondary,314,27,22,Yes,Yes,Yes,92,0.59,2025-12-16
68,Prasad Surgical and Children Nursing Home,Maharashtra,Mumbai,Mumbai,19.1762443,72.9521906,Trust,Primary,65,2,1,No,No,No,74,0.31,2025-12-16
69,Sumangal Hospital,Maharashtra,Mumbai,Mumbai,19.2020207,72.827885,Private,Tertiary,488,101,64,Yes,Yes,Yes,75,0.86,2025-12-16
70,Niramaya General Hospital,Maharashtra,Mumbai,Mumbai,19.0500033,72.9044715,Private,Tertiary,964,190,115,Yes,Yes,No,38,0.51,2025-12-16
71,Gokul Nursing Home and ICCU,Maharashtra,Mumbai,Mumbai,19.1734002,72.9553535,Government,Secondary,370,43,30,No,No,No,33,0.13,2025-12-16
72,Kapadia Multi Speciality Hospital,Maharashtra,Mumbai,Mumbai,19.1631084,72.8434806,Private,Secondary,221,18,11,Yes,No,Yes,67,0.4,2025-12-16
73,"Pooja Hospital, Mumbai",Maharashtra,Mumbai,Mumbai,19.155501,72.845498,Government,Tertiary,995,156,129,Yes,Yes,Yes,56,0.29,2025-12-16
74,Dr.Sanjay Sonar Laparoscopy and Scopy Center,Maharashtra,Mumbai,Mumbai,19.059025,72.8973126,Government,Secondary,182,20,16,Yes,No,Yes,43,0.88,2025-12-16
75,Dr. Bet Hospital and Polyclinic,Maharashtra,Mumbai,Mumbai,19.1932665,72.8397135,Government,Tertiary,693,128,85,Yes,Yes,No,35,0.4,2025-12-16
76,Shree Chembur Jain Medical Relief Centre,Maharashtra,Mumbai,Mumbai,19.0563744,72.8957395,Government,Secondary,200,17,13,Yes,Yes,No,86,0.66,2025-12-16
77,Yash Eye Care and Polyclinic,Maharashtra,Mumbai,Mumbai,19.0607819,72.8986967,Trust,Tertiary,1015,241,155,Yes,No,No,86,0.13,2025-12-16
78,Ria Nursing Home,Maharashtra,Mumbai,Mumbai,19.1790754,72.9565283,Trust,Tertiary,694,137,87,No,Yes,No,88,0.27,2025-12-16
79,Kk Maternity and General Hospital,Maharashtra,Mumbai,Mumbai,19.2467458,72.8611122,Trust,Primary,78,2,1,Yes,No,Yes,93,0.94,2025-12-16
80,Manorama Hospital,Maharashtra,Mumbai,Mumbai,19.1905421,72.8463601,Government,Secondary,365,38,26,No,No,No,66,0.24,2025-12-16
81,Vatsal Nicu and Childrens Hospital,Maharashtra,Mumbai,Mumbai,19.0824458,72.9092512,Government,Secondary,234,22,14,No,No,Yes,90,0.24,2025-12-16
82,Aditya Health Care Hospital,Maharashtra,Mumbai,Mumbai,19.0579944,72.9087979,Private,Primary,64,1,0,Yes,No,Yes,93,0.49,2025-12-16
83,Le Nest Hospital,Maharashtra,Mumbai,Mumbai,19.1759439,72.8463833,Private,Tertiary,415,73,50,Yes,Yes,No,76,0.87,2025-12-16
84,Nayak Medicare - Chembur,Maharashtra,Mumbai,Mumbai,19.0456831,72.9025014,Private,Primary,74,3,2,No,No,No,70,0.4,2025-12-16
85,Dr. Das Hospital - Chembur (Mumbai),Maharashtra,Mumbai,Mumbai,19.0596994,72.8997535,Private,Primary,60,2,1,Yes,Yes,Yes,76,0.32,2025-12-16
86,"Dr Parikhs Maternity, Gynaec, and General Hospital",Maharashtra,Mumbai,Mumbai,19.2228876,72.8574027,Private,Tertiary,772,179,109,Yes,No,No,93,0.28,2025-12-16
87,Dhanshri Hospital,Maharashtra,Mumbai,Mumbai,19.2221415,72.8550357,Private,Secondary,384,45,38,No,Yes,No,38,0.84,2025-12-16
88,Vasudhan Cosmetic Plastic Surgery Centre,Maharashtra,Mumbai,Mumbai,19.2187028,72.8523723,Private,Primary,67,2,1,Yes,No,Yes,44,0.38,2025-12-16
89,"Laxmi Maternity and Nursing Home, Mumbai",Maharashtra,Mumbai,Mumbai,19.0570862,72.8988851,Trust,Secondary,252,28,18,No,Yes,Yes,62,0.87,2025-12-16
90,Hegde Hospital,Maharashtra,Mumbai,Mumbai,19.0606625,72.8997141,Government,Secondary,238,23,18,Yes,Yes,Yes,40,0.85,2025-12-16
91,"Sai Siddhi Hospital, Mumbai",Maharashtra,Mumbai,Mumbai,19.1699191,72.9321205,Government,Primary,55,1,0,No,No,No,69,0.5,2025-12-16
92,Devkunj Charitablr Trust Matushri Mankbai Nagji Sa,Maharashtra,Mumbai,Mumbai,19.170637,72.9498291,Government,Secondary,193,19,12,No,No,No,45,0.78,2025-12-16
93,Dr Nandita Rane's Eye Clinic,Maharashtra,Mumbai,Mumbai,19.0694366,72.9038545,Private,Tertiary,825,191,161,Yes,Yes,Yes,88,0.17,2025-12-16
94,Genesis Speciality Center (Health-Check Up,Maharashtra,Mumbai,Mumbai,19.0190313,72.8639666,Government,Secondary,283,30,22,Yes,Yes,Yes,48,0.62,2025-12-16
95,Patankar's Hand and Limb Reconstruction Clinic,Maharashtra,Mumbai,Mumbai,19.0609549,72.8987212,Government,Tertiary,1128,182,120,Yes,No,Yes,54,0.97,2025-12-16
96,Nav Drishti Netralaya,Maharashtra,Mumbai,Mumbai,19.1739604,72.9570701,Government,Secondary,254,26,18,No,Yes,No,52,0.6,2025-12-16
97,Surya Eye Institute and Research Centre,Maharashtra,Mumbai,Mumbai,19.1686019,72.9450512,Private,Primary,66,2,1,Yes,No,Yes,73,0.49,2025-12-16
98,Icon Hospital and Research Centre,Maharashtra,Mumbai,Mumbai,19.0618187,72.8980838,Government,Secondary,111,12,9,No,No,No,79,0.68,2025-12-16
99,Dr. Khona's E. N. T. Hospital & Regional Center,Maharashtra,Mumbai,Mumbai,19.175445,72.9539676,Trust,Secondary,103,10,7,No,Yes,Yes,90,0.72,2025-12-16
100,Sangita Maternity Surgical and Diagnostic Centre,Maharashtra,Mumbai,Mumbai,19.1181601,72.844288,Trust,Primary,63,2,1,Yes,Yes,No,39,0.71,2025-12-16
101,Ojas Eye Hospital,Maharashtra,Mumbai,Mumbai,19.0632283,72.834439,Private,Primary,92,3,2,Yes,Yes,Yes,73,0.22,2025-12-16
102,Dr. Shettys E.N.T. Hospital,Maharashtra,Mumbai,Mumbai,19.1758149,72.9528357,Government,Tertiary,942,226,152,Yes,Yes,No,83,0.89,2025-12-16
103,"R. K. Hospital, Mumbai",Maharashtra,Mumbai,Mumbai,19.0803279,72.8421846,Trust,Secondary,354,37,24,No,No,Yes,35,0.45,2025-12-16
104,Inlaks General Hospital,Maharashtra,Mumbai,Mumbai,19.0467619,72.8934167,Private,Primary,94,4,2,Yes,No,Yes,70,0.52,2025-12-16
105,"Prime Orthopedic Speciality Hospital, Mumbai",Maharashtra,Mumbai,Mumbai,19.1284312,72.8468965,Private,Primary,69,2,1,No,Yes,Yes,78,0.94,2025-12-16
106,Sunflowar Laboratory and Diagnostic Centre,Maharashtra,Mumbai,Mumbai,19.1930526,72.8418451,Private,Tertiary,1067,197,122,No,Yes,Yes,90,0.15,2025-12-16
107,"Swastik Hospital and Research Centre, Mumbai",Maharashtra,Mumbai,Mumbai,19.0552184,72.8898903,Government,Primary,99,4,3,Yes,No,No,43,0.29,2025-12-16
108,Sitla Hospital,Maharashtra,Mumbai,Mumbai,19.0526628,72.8911664,Trust,Tertiary,425,97,58,Yes,No,Yes,87,0.45,2025-12-16
109,Nandan Maternity and Surgical Home,Maharashtra,Mumbai,Mumbai,19.0797908,72.8427047,Trust,Primary,91,2,1,Yes,Yes,No,54,0.96,2025-12-16
110,Mumbai Retina Centre,Maharashtra,Mumbai,Mumbai,19.0784905,72.8380749,Trust,Tertiary,628,135,95,Yes,No,Yes,43,0.4,2025-12-16
111,Malpani Eye Hospital and Laser Centre,Maharashtra,Mumbai,Mumbai,19.0879436,72.8376687,Private,Secondary,390,42,26,Yes,No,No,83,0.43,2025-12-16
112,Shreeji Hospital (Kandivli),Maharashtra,Mumbai,Mumbai,19.1968922,72.8736733,Private,Secondary,154,14,10,No,No,No,37,0.81,2025-12-16
113,S B Nursing Home and Icu,Maharashtra,Mumbai,Mumbai,19.1242045,72.8906147,Trust,Secondary,160,19,13,No,No,No,80,0.47,2025-12-16
114,Sri Sai Eye Care Centre,Maharashtra,Mumbai,Mumbai,19.1254925,72.9181845,Trust,Primary,54,1,0,Yes,Yes,No,53,0.59,2025-12-16
115,Kenias Eye Hospital,Maharashtra,Mumbai,Mumbai,19.089509,72.8385763,Government,Secondary,234,24,19,No,Yes,Yes,80,0.74,2025-12-16
116,"Centre For Sight, Juhu",Maharashtra,Mumbai,Mumbai,19.1129534,72.8379245,Government,Tertiary,548,135,112,Yes,Yes,Yes,60,0.14,2025-12-16
117,"Ankur Hospital, Kandivali",Maharashtra,Mumbai,Mumbai,19.2030731,72.8470266,Government,Tertiary,1110,256,157,Yes,No,No,81,0.13,2025-12-16
118,Total Woman Medical Centre - Dahisar,Maharashtra,Mumbai,Mumbai,19.2425422,72.8675938,Trust,Secondary,338,38,24,Yes,No,Yes,76,0.53,2025-12-16
119,Mangeshikar Access Gynecology and Infertility Center,Maharashtra,Mumbai,Mumbai,18.9603152,72.8102066,Trust,Primary,92,3,1,Yes,Yes,No,53,0.98,2025-12-16
120,Shroff Eye Hospital,Maharashtra,Mumbai,Mumbai,19.0604187,72.8369254,Government,Tertiary,1085,261,189,No,No,Yes,90,0.83,2025-12-16
121,Vinod Sharma Memorial Medical Centre,Maharashtra,Mumbai,Mumbai,18.9230941,72.8276074,Private,Secondary,287,26,20,Yes,Yes,Yes,65,0.85,2025-12-16
122,"Noble Hospital, Ghatkopar",Maharashtra,Mumbai,Mumbai,19.0878158,72.9069324,Trust,Secondary,106,8,5,No,Yes,No,70,0.12,2025-12-16
123,Excel Ent Hospital,Maharashtra,Mumbai,Mumbai,19.0824573,72.9092287,Trust,Secondary,397,38,28,No,Yes,No,55,0.49,2025-12-16
124,Parle Eye Hospital,Maharashtra,Mumbai,Mumbai,19.1013222,72.8484596,Private,Secondary,360,38,27,No,Yes,Yes,78,0.67,2025-12-16
125,Dr.Bhatia's Ruby Hospital,Maharashtra,Mumbai,Mumbai,19.1457239,72.9293557,Trust,Secondary,140,15,12,Yes,Yes,No,30,0.24,2025-12-16
126,Megha Surgical Hospital,Maharashtra,Mumbai,Mumbai,19.1857961,72.8544543,Government,Primary,68,2,1,No,Yes,Yes,40,0.3,2025-12-16
127,Shri Bala Hanuman Maternity & Surgical Hospital,Maharashtra,Mumbai,Mumbai,19.2187787,72.8523903,Government,Secondary,175,19,14,No,Yes,Yes,65,0.36,2025-12-16
128,Shah Surgical Hospital and Maternity Home P. Ltd.,Maharashtra,Mumbai,Mumbai,19.2039141,72.8494285,Government,Tertiary,600,114,83,No,No,Yes,74,0.82,2025-12-16
129,Dr.Vaze Hospital,Maharashtra,Mumbai,Mumbai,19.0240308,72.8368979,Trust,Primary,49,1,0,Yes,No,Yes,42,0.56,2025-12-16
130,Asha Surgical and Maternity Home,Maharashtra,Mumbai,Mumbai,19.0135345,72.8283792,Government,Tertiary,1053,182,152,No,No,No,31,0.82,2025-12-16
131,"Apex Hospital, Mumbai",Maharashtra,Mumbai,Mumbai,19.2318895,72.8500816,Government,Secondary,218,25,15,Yes,Yes,Yes,49,0.81,2025-12-16
132,Mukund Maternity and Surgical Nursing Home,Maharashtra,Mumbai,Mumbai,19.1111299,72.8721267,Government,Secondary,398,47,29,Yes,Yes,Yes,91,0.24,2025-12-16
133,"Aparna Hospital, Mulund (W)",Maharashtra,Mumbai,Mumbai,19.169912,72.9536431,Private,Tertiary,522,96,74,Yes,Yes,Yes,46,0.33,2025-12-16
134,"Vikas Nursing Home, Mumbai",Maharashtra,Mumbai,Mumbai,19.0628176,72.9207404,Trust,Secondary,228,25,17,No,No,No,63,0.19,2025-12-16
135,"Ameya Maternity and Surgical Nursing Home, Borivali",Maharashtra,Mumbai,Mumbai,19.2322314,72.8470749,Private,Primary,32,0,0,Yes,No,Yes,78,0.89,2025-12-16
136,Dr. Yash Shah Total Eye Care,Maharashtra,Mumbai,Mumbai,18.9576821,72.821319,Private,Primary,43,1,0,Yes,No,Yes,35,0.64,2025-12-16
137,"Krishna Cardiac Care Centre, Mumbai",Maharashtra,Mumbai,Mumbai,19.0196598,72.8486822,Government,Primary,86,3,1,Yes,No,No,54,0.89,2025-12-16
138,"Shree Sai Hospital, Mumbai",Maharashtra,Mumbai,Mumbai,19.213646,72.8670365,Government,Secondary,245,27,21,Yes,Yes,Yes,92,0.89,2025-12-16
139,Tara Neo Surg Hospital,Maharashtra,Mumbai,Mumbai,19.0757589,72.9030552,Government,Secondary,368,41,32,No,No,No,83,0.34,2025-12-16
140,The Eye Super Specialities,Maharashtra,Mumbai,Mumbai,19.0793026,72.902154,Private,Secondary,251,21,14,Yes,No,Yes,81,0.62,2025-12-16
141,Advanced Orthopaedic and Super Speciality Center,Maharashtra,Mumbai,Mumbai,19.0791531,72.9039431,Private,Tertiary,741,128,91,Yes,No,Yes,94,0.38,2025-12-16
142,Surbhi Life Care Hospital,Maharashtra,Mumbai,Mumbai,19.2133896,72.8636751,Private,Secondary,184,16,10,No,No,No,94,0.45,2025-12-16
143,Sushila Hospital-Icu and Maternity,Maharashtra,Mumbai,Mumbai,19.0829325,72.8819436,Private,Primary,84,3,2,Yes,No,Yes,72,0.46,2025-12-16
144,"Adarsh Hospital, Mumbai",Maharashtra,Mumbai,Mumbai,19.1937801,72.8394373,Private,Tertiary,690,169,129,No,No,Yes,46,0.62,2025-12-16
145,V Care Hospital and Icu,Maharashtra,Mumbai,Mumbai,19.062706,72.8815868,Government,Secondary,114,11,7,Yes,Yes,No,34,0.12,2025-12-16
146,Universal Eye Clinic and Surgical Centre,Maharashtra,Mumbai,Mumbai,19.0431439,72.8936943,Private,Primary,42,1,0,No,Yes,Yes,35,0.82,2025-12-16
147,Mahima Hospital and Polyclinic,Maharashtra,Mumbai,Mumbai,19.1305947,72.8184403,Government,Tertiary,998,202,130,Yes,Yes,No,82,0.52,2025-12-16
148,Niramay Mother-Care Centre (Maternity and Surgical),Maharashtra,Mumbai,Mumbai,19.2213057,72.8401212,Government,Tertiary,821,167,132,No,Yes,Yes,91,0.17,2025-12-16
149,Siddivinayak Healthcare Pvt Ltd,Maharashtra,Mumbai,Mumbai,19.0139586,72.8325856,Trust,Tertiary,1039,234,178,Yes,No,Yes,63,0.15,2025-12-16
150,Indu Child Care Center,Maharashtra,Mumbai,Mumbai,19.1344091,72.8243659,Government,Tertiary,1017,238,195,No,No,Yes,67,0.58,2025-12-16
151,Suchak Hospital,Maharashtra,Mumbai,Mumbai,19.1888056,72.8501675,Government,Secondary,174,20,16,Yes,No,Yes,75,0.38,2025-12-16
152,Aryan Hospital and Iccu - Kurla-Mumbai,Maharashtra,Mumbai,Mumbai,19.0630077,72.8823915,Government,Secondary,353,32,24,Yes,No,Yes,46,0.38,2025-12-16
153,Dr Bothra's Hospital,Maharashtra,Mumbai,Mumbai,19.1532611,72.9308885,Private,Secondary,244,26,21,Yes,Yes,Yes,79,0.6,2025-12-16
154,Paramount Ganpati Health Care - Kandivali,Maharashtra,Mumbai,Mumbai,19.2149511,72.8687109,Trust,Tertiary,1024,199,139,Yes,No,No,91,0.52,2025-12-16
155,Anandpara Surgical and General Hospital,Maharashtra,Mumbai,Mumbai,19.1844402,72.8514314,Trust,Primary,100,3,2,No,Yes,No,41,0.66,2025-12-16
156,Sanket Hospital,Maharashtra,Mumbai,Mumbai,19.228839,72.8510848,Government,Tertiary,487,80,64,No,Yes,Yes,87,0.72,2025-12-16
157,"Maher Maternity and Nursing Home, Mumbai",Maharashtra,Mumbai,Mumbai,19.1703693,72.9588425,Trust,Tertiary,601,136,103,No,Yes,Yes,69,0.2,2025-12-16
158,Shushrusha Citizens Co-Op Hospital Ltd.,Maharashtra,Mumbai,Mumbai,19.0232828,72.8379312,Government,Tertiary,1194,230,154,No,No,Yes,88,0.41,2025-12-16
159,Navjivan Maternity and Surgical Nursing Home,Maharashtra,Mumbai,Mumbai,19.0972827,72.8493802,Private,Primary,73,2,1,Yes,Yes,No,90,0.39,2025-12-16
160,Kolekar Hospital & ICCU,Maharashtra,Mumbai,Mumbai,19.0598819,72.9011294,Trust,Primary,45,2,1,No,No,Yes,84,0.21,2025-12-16
161,Surana Sethia Hospital And Research Centre,Maharashtra,Mumbai,Mumbai,19.0535553,72.8870063,Government,Tertiary,1113,246,208,No,No,No,47,0.24,2025-12-16
162,Tushar Maternity and Surgical Nursing Home,Maharashtra,Mumbai,Mumbai,19.1743945,72.8613845,Government,Primary,54,2,1,Yes,Yes,Yes,67,0.72,2025-12-16
